Rank,Title,Genre,Year,Metascore,Mean Lead Roles Exp.,Revenue^{1/3},Votes^{1/3},ln(Runtime),ln(Director Exp),Rating^2,Action,Adventure,Sci-Fi,Thriller,Comedy,Drama,Romance,Crime
1,Guardians of the Galaxy,"Action,Adventure,Sci-Fi",2014,0.9683878288797096,0.3439926103835671,1.8353392174938639,2.113567792864239,0.4245718154928289,-0.1611800651396621,1.5986596219935423,1,1,1,0,0,0,0,0
2,Prometheus,"Adventure,Mystery,Sci-Fi",2012,0.3193889396312392,-0.12388891664237744,0.7629372749070339,1.4404149570013278,0.5817218597528382,1.8408727384857708,0.15406318703546468,0,1,1,0,0,0,0,0
3,Split,"Horror,Thriller",2016,0.14238924256347454,-1.1532282760994554,0.8468963686170353,0.11883619297594503,0.20886614569456943,0.9235016269696846,0.5271708755345708,0,0,0,1,0,0,0,0
4,Sing,"Animation,Comedy,Family",2016,-0.034610454504290115,-0.3172799478131011,1.5738860701073247,-0.6736592180207384,-0.3047390471200417,-1.7023857306291776,0.40106221625165644,0,0,0,0,1,0,0,0
5,Suicide Squad,"Action,Adventure,Fantasy",2016,-1.1556085359334662,-0.030312611237188536,1.803541152573918,1.1546155144293155,0.529764981435487,0.055072659811062526,-0.7643557385007963,1,1,0,0,0,0,0,0
6,The Great Wall,"Action,Adventure,Fantasy",2016,-1.03760873788829,1.7850677136234763,-0.05508182716087406,-0.727391752199441,-0.6089021214952275,-2.6747782413594114,-0.8713306701683731,1,1,0,0,0,0,0,0
7,La La Land,"Comedy,Drama,Music",2016,1.9713861122637093,0.8118741374095116,0.934711122095028,0.6400669372900025,0.7854418086828499,-0.41695275143682026,1.8839261064404127,0,0,0,0,1,1,0,0
9,The Lost City of Z,"Action,Adventure,Biography",2016,1.086387626924886,-0.6292009658303975,-0.9293927212845822,-1.746544632403471,1.4061209422618741,0.055072659811062526,0.2766929867519538,1,1,0,0,0,0,0,0
10,Passengers,"Adventure,Drama,Romance",2016,-1.096608636910878,-0.8662609395235429,0.5512121241667431,0.31718216691387396,0.15378735760971712,-0.1611800651396621,0.15406318703546468,0,1,0,0,0,1,1,0
11,Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",2016,0.37838883865382744,-1.0908440724959962,1.4037644963348286,0.5184032610382753,1.0313201436413102,0.6891471559868676,0.784606483450038,0,1,0,0,0,0,0,0
12,Hidden Figures,"Biography,Drama,History",2016,0.8503880308345332,-0.042789451957880746,1.0501687571257505,-0.3482432556019293,0.7351149670600102,-1.1335725758698958,1.1838056186973331,0,0,0,0,0,1,0,0
13,Rogue One,"Action,Adventure,Sci-Fi",2016,0.3193889396312392,0.19427052173526485,2.492130741381012,0.9035337947093249,1.0313201436413102,-0.7299932198989435,1.3203508566795241,1,1,1,0,0,0,0,0
14,Moana,"Animation,Adventure,Comedy",2016,1.2633873239926507,-0.8163535766407753,1.4747824811407282,-0.1469502657349111,-0.3644291465161256,0.24239929083129033,1.0489998104983562,0,1,0,0,1,0,0,0
15,Colossal,"Action,Comedy,Drama",2016,0.6143884347441803,-0.5668167622269387,-1.2544103861693652,-1.6821500675992234,-0.2455990947139204,0.24239929083129033,-0.5451875858160063,1,0,0,0,1,1,0,0
16,The Secret Life of Pets,"Animation,Adventure,Comedy",2016,0.08338934354088633,-0.46076361610105754,1.9675972941431759,-0.1313625500675208,-1.6921647670178006,-0.1611800651396621,-0.31906171399836736,0,1,0,0,1,0,0,0
17,Hacksaw Ridge,"Biography,Drama,History",2016,0.6733883337667685,-1.015983028171845,0.22728894140265493,0.41911510960641873,1.3144531059293265,-0.1611800651396621,1.7404231493253701,0,0,0,0,0,1,0,0
18,Jason Bourne,"Action,Thriller",2016,-0.09361035352687833,1.0052651685802356,1.0061237899663744,0.07658757783686672,0.529764981435487,0.5554397592934142,-0.2033896334147279,1,0,0,1,0,0,0,0
