name,num_films
Tom Hanks,72
Tim Allen,29
Don Rickles,29
Jim Varney,20
Wallace Shawn,75
John Ratzenberger,46
Annie Potts,15
John Morris,4
Erik von Detten,11
Laurie Metcalf,25
R. Lee Ermey,39
Sarah Freeman,3
Penn Jillette,19
Robin Williams,82
Jonathan Hyde,15
Kirsten Dunst,45
Bradley Pierce,5
Bonnie Hunt,29
Bebe Neuwirth,22
David Alan Grier,34
Patricia Clarkson,58
Adam Hann-Byrd,5
Laura Bell Bundy,3
James Handy,14
Gillian Barber,9
Brandon Obray,1
Cyrus Thiedeke,1
Gary Joseph Thorup,1
Leonard Zola,1
Lloyd Berry,5
Malcolm Stewart,11
Annabel Kershaw,4
Darryl Henriques,8
Robyn Driscoll,1
Peter Bryant,7
Sarah Gilson,1
Florica Vlad,1
June Lion,1
Brenda Lockmuller,1
Walter Matthau,58
Jack Lemmon,58
Ann-Margret,45
Sophia Loren,44
Daryl Hannah,57
Burgess Meredith,56
Kevin Pollak,62
Whitney Houston,7
Angela Bassett,37
Loretta Devine,30
Lela Rochon,13
Gregory Hines,18
Dennis Haysbert,43
Michael Beach,25
Mykelti Williamson,31
Lamont Johnson,6
Wesley Snipes,48
Steve Martin,54
Diane Keaton,46
Martin Short,35
Kimberly Williams-Paisley,16
George Newbern,21
Kieran Culkin,21
BD Wong,25
Peter Michael Goetz,13
Kate McGregor-Stewart,8
Jane Adams,31
Eugene Levy,51
Lori Alan,18
Al Pacino,53
Robert De Niro,104
Val Kilmer,70
Jon Voight,59
Tom Sizemore,63
Diane Venora,23
Amy Brenneman,18
Ashley Judd,37
Natalie Portman,40
Ted Levine,36
Tom Noonan,26
Tone Loc,9
Hank Azaria,40
Wes Studi,25
Danny Trejo,102
Henry Rollins,24
William Fichtner,39
Kevin Gage,22
Susan Traylor,12
Jerry Trimble,10
Ricky Harris,5
Jeremy Piven,50
Xander Berkeley,53
Begonya Plaza,5
Rick Avery,8
Hazelle Goodman,4
Ray Buktenica,4
Max Daniels,2
Vince Deadrick Jr.,3
Steven Ford,9
Farrah Forke,4
Patricia Healy,3
Paul Herman,16
Cindy Katz,3
Brian Libby,12
Dan Martin,7
Mario Roberts,2
Thomas Rosale,22
Yvonne Zima,10
Mick Gould,2
Bud Cort,25
Viviane Vives,3
Kim Staunton,3
Martin Ferrero,13
Brad Baldridge,1
Andrew Camuccio,1
Kenny Endoso,3
Kimberly Flynn,3
Niki Harris,2
Bill McIntosh,1
Rick Marzan,2
Terry Miller,2
Daniel O'Haco,1
Kai Soremekun,2
Peter Blackwell,1
Trevor Coppola,3
Mary Kircher,1
Darin Mangan,2
Robert Miranda,9
Manny Perry,3
Iva Franks Singer,1
Tim Werner,1
Philip Ettington,41
Harrison Ford,59
Julia Ormond,29
Greg Kinnear,43
Angie Dickinson,34
Nancy Marchand,9
John Wood,29
Richard Crenna,34
Lauren Holly,33
Dana Ivey,21
Fanny Ardant,30
Patrick Bruel,15
Paul Giamatti,73
Miriam Colón,13
Elizabeth Franz,7
Valérie Lemercier,19
Becky Ann Baker,14
John C. Vennema,2
Margo Martindale,41
J. Smith-Cameron,12
Christine Luneau-Lipton,1
Michael Dees,1
Denis Holmes,2
Jo-Jo Lowe,1
Ira Wheeler,6
Philippa Cooper,1
Ayako Kawahara,1
François Genty,2
Guillaume Gallienne,15
Inés Sastre,9
Phina Oruche,3
Andrea Behalikova,1
Jennifer Herrera,3
Kristina Kumlin,1
Eva Linderholm,1
Carmen Chaplin,5
Micheline Van de Velde,1
Joanna Rhodes,1
Alan Boone,1
Patrick Forster-Delmas,1
Kentaro Matsuo,1
Peter McKernan,1
Ed Connelly,1
Ronald L. Schwary,2
Alvin Lum,1
Siching Song,1
Phil Nee,3
Randy Becker,1
Susan Browning,1
Anthony Mondal,1
Peter Parks,1
Woodrow Asai,2
Eric Bruno Borgman,2
Michael Cline,1
Christopher Del Gaudio,1
Philippe Hartmann,7
Jerry Quinn,1
Dori Rosenthal,1
Jonathan Taylor Thomas,9
Brad Renfro,15
Rachael Leigh Cook,38
Michael McShane,8
Amy Wright,16
Eric Schweig,10
Tamara Mello,7
Jean-Claude Van Damme,55
Powers Boothe,29
Dorian Harewood,21
Raymond J. Barry,29
Ross Malinger,4
Whittni Wright,3
Pierce Brosnan,56
Sean Bean,62
Izabella Scorupco,9
Famke Janssen,39
Joe Don Baker,34
Judi Dench,49
Gottfried John,24
Robbie Coltrane,48
Alan Cumming,45
Tchéky Karyo,38
Desmond Llewelyn,22
Samantha Bond,11
Michael Kitchen,12
Serena Gordon,2
Simon Kunz,15
Billy J. Mitchell,6
Constantine Gregory,13
Minnie Driver,29
Michelle Arthur,4
Ravil Isyanov,9
Michael Douglas,46
Annette Bening,30
Michael J. Fox,39
Martin Sheen,77
Anna Deavere Smith,9
Shawna Waldron,6
Samantha Mathis,24
David Paymer,48
Richard Dreyfuss,55
Nina Siemaszko,13
Wendie Malick,15
Beau Billingslea,11
Gail Strickland,13
Joshua Malina,9
Clement von Franckenstein,15
John Mahoney,26
John Mahon,5
Gabriel Jarret,7
Leslie Nielsen,48
Mel Brooks,25
Amy Yasbeck,8
Peter MacNicol,18
Lysette Anthony,19
Harvey Korman,25
Steven Weber,27
Mark Blankfield,5
Megan Cavanagh,9
Gregg Binkley,12
Anne Bancroft,49
Kevin Bacon,63
Bob Hoskins,56
Bridget Fonda,29
Jim Cummings,65
Phil Collins,8
Juliette Brewer,3
Jack Angel,11
Danny Mann,28
Robbie Rist,9
Sandra Dickinson,4
Frank Welker,107
Miriam Margolyes,51
Lola Bates-Campbell,1
Anthony Hopkins,71
Joan Allen,31
Ed Harris,74
E.G. Marshall,33
David Hyde Pierce,26
Paul Sorvino,52
Mary Steenburgen,61
J.T. Walsh,36
James Woods,70
Brian Bedford,4
Kevin Dunn,41
Fyvush Finkel,3
Annabeth Gish,26
Larry Hagman,17
Madeline Kahn,23
Dan Hedaya,50
Bridgette Wilson,18
Tom Bower,29
Tony Goldwyn,23
Edward Herrmann,50
Tony Lo Bianco,20
Saul Rubinek,33
Robert Beltran,10
John Cunningham,5
John Diehl,39
John C. McGinley,47
Michael Chiklis,17
Ric Young,11
Boris Sichkin,5
Sam Waterston,33
Marley Shelton,32
Geena Davis,22
Matthew Modine,53
Frank Langella,51
Maury Chaykin,49
Patrick Malahide,26
Stan Shaw,18
Rex Linn,21
Paul Dillon,7
Christopher Masterson,12
Jimmie F. Skaggs,7
Harris Yulin,33
Carl Chase,8
Peter Geeves,2
Angus Wright,7
Ken Bones,6
Mary Peach,6
Thomas Lockyer,6
Roger Booth,1
George Murcell,10
Simon Atherton,2
Dickey Beer,3
Christopher Halliday,1
Chris Johnston,1
Richard Leaf,9
Tam White,2
Rupert Vansittart,10
Nick Bartlett,7
David Bailie,12
Kwame Kwei-Armah,1
Ramon Tikaram,6
Christopher Adamson,11
Sharon Stone,58
Joe Pesci,26
Alan King,19
Pasquale Cajano,1
L.Q. Jones,41
Dick Smothers,5
Frank Vincent,16
Oscar Goodman,1
Richard Riehle,62
Catherine Scorsese,7
Vinny Vella,4
Nobu Matsuhisa,2
Erika von Tagen,1
Nick Mazzola,1
David Rose,2
John Bloom,13
Joseph Rigano,4
Philip Suriano,4
Melissa Prophet,5
Bill Allison,2
Joe La Due,4
Joseph P. Reidy,4
Craig Vincent,1
Carl Ciarfalio,14
Gene Ruffini,5
Dominick Grieco,1
Clem Caserta,7
Daniel P. Conte,3
Joey DePinto,3
Jack Orend,3
Jed Mills,4
Claudia Haro,3
Ffolliott Le Coque,1
John Manca,2
Ronald Maccone,7
Joseph Bono,3
Frank Adonis,11
Anthony Russell,4
Stuart Nisbet,4
Alfred Nittoli,2
Kate Winslet,38
Emma Thompson,47
Hugh Grant,37
Tom Wilkinson,67
Alan Rickman,45
Imogen Stubbs,7
Greg Wise,14
Hugh Laurie,26
Imelda Staunton,37
Robert Hardy,24
Oliver Ford Davies,14
James Fleet,14
Harriet Walter,25
Gemma Jones,30
Emilie François,2
