name,num_films
John Lasseter,10
Ash Brannon,4
William Reeves,1
Rich Quade,1
Joe Johnston,10
Howard Deutch,11
Forest Whitaker,4
Charles Shyer,7
Michael Mann,12
Dianne Wager,1
Michael Waxman,4
Sydney Pollack,21
Peter Hewitt,12
Peter Hyams,18
Martin Campbell,12
Michael Boone,1
Steven Lawrence,1
Neil Lamont,4
Rob Reiner,19
Mel Brooks,11
Simon Wells,6
Oliver Stone,25
Renny Harlin,19
Martin Scorsese,42
Ang Lee,14
Allison Anders,9
Alexandre Rockwell,5
Robert Rodriguez,18
Quentin Tarantino,12
Douglas Aarniokoski,6
Fernando Altschul,2
Steve Oedekerk,5
Joseph Ruben,13
Barry Sonnenfeld,11
Jon Amiel,9
Richard Donner,18
Daniel T. Dorrance,6
Victor Salva,8
Mike Figgis,14
Oliver Parker,10
Lesli Linka Glatter,2
Roger Michell,12
Jean-Pierre Jeunet,9
Marc Caro,4
Zhang Yimou,20
John N. Smith,4
Terry Gilliam,14
Tim Galvin,2
Kevin Ishioka,7
Robert LaPrell,1
Mark Egerton,3
Andrew Bernstein,1
Jean-Jacques Annaud,13
Chris Noonan,2
Christopher Hampton,3
Andy Semple,1
Tim Robbins,3
Allan F. Nicholls,1
Sam Hoffman,3
David Stein,2
Stephen Low,3
Andy Tennant,10
Amy Heckerling,9
Darrell James Roodt,7
Richard Loncraine,13
Albert Hughes,5
Allen Hughes,7
Michael Hoffman,12
Paul W.S. Anderson,12
Gus Van Sant,19
Jocelyn Moorhouse,4
David Fincher,10
Barry Chusid,1
Mike Gabriel,3
Eric Goldberg,2
Patricia Rozema,4
Bryan Singer,10
Richard W. Munchkin,3
Woody Allen,49
Gianni Amelio,9
Holly Goldberg Sloan,2
Ulu Grosbard,8
Robert Tinnell,2
Jodie Foster,4
Michael Radford,9
Robert Lepage,4
Frank Oz,12
John Schlesinger,20
Stephen Herek,18
Jeffrey Wetzel,3
Paris Barclay,1
Bill Bennett,5
Jason Bloom,2
Farhad Mann,4
James Foley,12
Josiane Balasko,3
F. Gary Gray,9
Brian Bettwy,6
Adam Lustig,1
Andrew Sipes,1
Noah Baumbach,11
Claude Lelouch,19
Michael Goldenberg,1
Daniel M. Stillman,1
Michael Haley,4
Steve Miner,15
Christian Duguay,15
Susanne Ofteringer,1
Sean Penn,5
Brian Gibson,5
Jafar Panahi,9
Gary Fleder,7
Marleen Gorris,5
Tim Reid,1
Henry Jaglom,11
Philip Haas,6
Ridley Scott,24
Ken Kwapis,11
Penelope Spheeris,18
John Badham,19
John Duigan,11
Stephen Frears,29
Wes Craven,23
Ted Demme,9
John Woo,24
Kenneth Branagh,14
Mathieu Kassovitz,7
Nick Broomfield,15
Harold Becker,10
Wes Anderson,10
Nick Castle,9
John Dahl,8
Dennis Dugan,14
Clint Eastwood,35
Doris Dörrie,9
Brian Henson,3
Robert Leacock,1
James Bruce,1
Mel Gibson,5
Clare Langan,1
Padraig O'Neill,1
Anna Rackard,3
Brendan Rankin,1
Peter R. Scoppa,1
Ralph S. Singleton,2
Stanley Tong,8
Barbet Schroeder,14
Mort Ransen,1
Darlene Sheils,1
Étienne Chatiliez,6
Jon Blair,1
Benjamin Ross,4
Eric Schaeffer,6
Andrew Davis,12
Charles T. Kanganis,4
Reginald Hudlin,5
Wong Kar-wai,14
Giuseppe Tornatore,10
David O. Russell,9
Peter MacDonald,4
Moufida Tlatli,2
Michel Negroponte,2
Bryan Gordon,2
Rebecca Miller,5
Michael Lindsay-Hogg,9
William Friedkin,19
Ángel Muñiz,1
Craig Baldwin,3
David S. Ward,6
Mark Rappaport,6
Dirk Shafer,1
Terence Davies,8
Sandip Ray,1
Jon Avnet,7
Mike Nichols,21
Jakov Sedlar,1
Edward Burns,11
Michael Bay,13
Christopher Cain,11
Scott Kalvert,2
Mike Newell,16
Hal Hartley,13
Ron Howard,26
Bruce Moriarty,6
Michael Caton-Jones,10
Abel Ferrara,22
Joel Schumacher,23
William M. Elvin,9
Chas. Butcher,1
Luis Buñuel,27
Marc Desages,2
Pierre Lary,5
John Boorman,16
Paul Auster,4
Wayne Wang,15
Michael Moore,10
Brad Silberling,6
Phil Nibbelink,3
Eric Armstrong,2
Spike Lee,36
Frank Marshall,4
Tony Scott,17
Terry Zwigoff,5
Carl Franklin,7
John McTiernan,11
Peter Rogness,2
David B. Sharp,1
Gregg Araki,9
Christopher Menaul,9
Jerry Zucker,6
Dwight H. Little,7
Iain Softley,7
Christopher Ashley,1
Robert Longo,1
Danny Cannon,6
John Fortenberry,4
Larry Clark,9
Tom DiCillo,7
Clive Barker,3
Denys Arcand,6
Antonia Bird,4
Kevin Smith,14
Bryan Spicer,5
David Anspaugh,6
Anthony Waller,3
Michael Almereyda,8
Irwin Winkler,7
Chris Columbus,15
Daisy von Scherler Mayer,7
Gregory Widen,1
Norman René,3
Todd Haynes,10
Roland Joffé,12
Paul Verhoeven,15
Lasse Hallström,23
Roger Donaldson,17
James Keach,6
Kathryn Bigelow,11
Jacques Demy,12
Wesley Strick,1
Martha Coolidge,16
Agnieszka Holland,14
Beeban Kidron,5
